code,gndr,niveau_sekI,parental_edu,grade7,grade8,grade9,t4_2014,t4_2015,t5_2016,t6_2017,t7_2018
011AG01,2,2,1,2,2,2,7,7,99,99,8
011AG02,1,2,0,2,2,2,99,99,99,99,99
011AG03,1,2,0,2,2,2,5,5,5,99,99
011AG04,1,2,0,2,2,2,99,99,99,99,99
011AG05,2,2,0,2,2,2,5,5,5,8,99
011AG06,1,2,1,2,2,2,99,99,99,99,99
011AG07,2,2,0,2,2,2,7,6,5,5,5
011AG08,2,2,0,2,2,2,5,5,7,5,5
011AG09,2,2,0,2,2,2,5,5,5,8,8
011AG10,2,2,0,2,2,2,99,99,99,99,99
011AG11,2,2,1,2,2,2,99,99,99,99,99
011AG12,1,2,0,2,2,2,99,99,99,99,99
011AG13,2,2,0,2,2,2,5,5,5,8,9
011AG14,1,2,1,2,2,2,99,99,99,99,99
011AR01,2,2,,2,2,2,6,6,6,6,8
011AR02,1,2,0,2,2,99,99,99,99,99,99
011AR03,2,2,0,2,2,3,6,6,6,7,8
011AR04,1,2,0,2,2,3,6,6,6,8,11
011AR05,1,2,0,2,2,2,5,5,5,8,8
011AR06,1,2,1,2,2,2,5,5,5,5,7
011AR07,2,2,1,2,2,2,5,5,5,6,6
011AR08,1,2,0,2,2,2,5,5,5,98,8
011AR09,1,2,,2,2,2,99,99,99,99,99
011AR10,,2,,2,2,99,99,99,99,99,99
011AR11,2,2,0,2,2,3,99,99,6,99,11
011AR12,1,2,0,2,2,99,99,99,99,99,99
011AR13,2,2,0,2,2,3,6,6,6,11,11
011AR14,2,2,1,2,2,2,99,99,6,99,99
011AR15,2,2,0,2,2,2,7,5,5,5,5
011AR16,1,2,,2,2,2,5,5,5,5,8
011AR17,1,2,0,2,2,2,99,99,99,99,99
011AR18,1,2,,2,2,2,5,5,5,10,8
011AR19,1,2,0,2,2,99,99,99,99,99,99
011AR20,2,2,0,2,2,3,99,99,6,7,11
011AR21,2,2,0,2,2,3,6,6,6,99,99
011AR22,1,2,0,2,2,2,99,99,99,99,99
011BE01,1,1,0,1,1,1,5,5,5,7,8
011BE02,2,1,1,1,1,1,99,99,99,99,99
011BE03,2,1,0,1,1,1,5,5,5,9,9
011BE04,2,1,0,1,1,1,5,5,5,99,99
011BE05,2,1,0,1,1,1,7,98,99,5,98
011BE06,1,1,1,1,1,1,99,99,99,99,99
011BE07,1,1,1,1,1,1,7,6,6,6,8
011BE08,1,1,1,1,1,1,7,98,99,99,99
011BE09,1,1,0,1,1,1,5,5,5,8,8
011BE10,1,1,,1,1,1,5,5,5,99,99
011BE11,2,1,1,1,1,1,5,5,5,8,8
011BE12,2,1,1,1,1,1,7,5,99,99,99
011BE13,1,1,,1,1,1,99,99,99,99,99
011BE14,1,1,,1,1,1,99,99,99,10,99
011BE15,2,1,1,1,1,1,7,5,5,8,8
011BE16,1,1,0,1,1,1,99,99,99,99,99
011BE17,2,1,0,1,1,1,7,5,5,99,8
